ID,Title,Year,Rating,TMDb URL,Image URL
a808,Dark,"Dec 01, 2017",84,https://www.themoviedb.org/tv/70523-dark,https://media.themoviedb.org/t/p/w220_and_h330_face/apbrbWs8M9lyOpJYU5WXrpFbk1Z.jpg
a809,Stargate Universe,"Oct 02, 2009",74,https://www.themoviedb.org/tv/5148-stargate-universe,https://media.themoviedb.org/t/p/w220_and_h330_face/dHOaOZGUhnoRXeK9mhYeSRPh59H.jpg
a810,Kimagure Orange Road,"Apr 06, 1987",68,https://www.themoviedb.org/tv/9103,https://media.themoviedb.org/t/p/w220_and_h330_face/qPkVS7LtHwxgNfEIDDoJC8ruPxm.jpg
a811,Amanda,"Nov 22, 2016",70,https://www.themoviedb.org/tv/90487-amanda,https://media.themoviedb.org/t/p/w220_and_h330_face/q8rVNQ5HzOw15KGv0aEPgAXX7i4.jpg
a812,Smashing on Your Back,"Dec 04, 2017",40,https://www.themoviedb.org/tv/89754,https://media.themoviedb.org/t/p/w220_and_h330_face/cz6eEQ3joFKhm2P5WLDD2RpPiio.jpg
a813,It's Always Sunny in Philadelphia,"Aug 04, 2005",83,https://www.themoviedb.org/tv/2710-it-s-always-sunny-in-philadelphia,https://media.themoviedb.org/t/p/w220_and_h330_face/pRWO6ufqSNkWvPXDDQhBwPNSv4K.jpg
a814,Harvey Beaks,"Mar 28, 2015",61,https://www.themoviedb.org/tv/62487-harvey-beaks,https://media.themoviedb.org/t/p/w220_and_h330_face/8ZyogSmk6UFKz6Cz3VOo93QRuB4.jpg
a815,La rosa de Guadalupe,"Feb 05, 2008",69,https://www.themoviedb.org/tv/30826-la-rosa-de-guadalupe,https://media.themoviedb.org/t/p/w220_and_h330_face/9RaNva340arNWeZn2uKpKePkg91.jpg
a816,Teasing Master Takagi-san,"Jan 08, 2018",82,https://www.themoviedb.org/tv/75865,https://media.themoviedb.org/t/p/w220_and_h330_face/hKwpd9K5AXsDhcBhJ7hyP7iBJhN.jpg
a817,Akame ga Kill!,"Jul 07, 2014",83,https://www.themoviedb.org/tv/61223,https://media.themoviedb.org/t/p/w220_and_h330_face/4zPtA0NGIIpLauwuSN1KBBxSVka.jpg
a818,Downton Abbey,"Sep 26, 2010",81,https://www.themoviedb.org/tv/33907-downton-abbey,https://media.themoviedb.org/t/p/w220_and_h330_face/7HgDYRYjym4BwbhKaqTQq771SKb.jpg
a819,Bravo My Life,"Oct 21, 2017",75,https://www.themoviedb.org/tv/74597,https://media.themoviedb.org/t/p/w220_and_h330_face/l2GAnrjrNI4OO6c7XNyvezNYcF6.jpg
a820,Scrubs,"Oct 02, 2001",80,https://www.themoviedb.org/tv/4556-scrubs,https://media.themoviedb.org/t/p/w220_and_h330_face/u1z05trCA7AuSuDhi365grwdos1.jpg
a821,The Fairly OddParents,"Mar 30, 2001",76,https://www.themoviedb.org/tv/4630-the-fairly-oddparents,https://media.themoviedb.org/t/p/w220_and_h330_face/3ryMj7tIvVtiXyI2tLvHYTjOjq4.jpg
a822,WordGirl,"Sep 07, 2007",69,https://www.themoviedb.org/tv/14511-wordgirl,https://media.themoviedb.org/t/p/w220_and_h330_face/q4zApVkqZQtjO2VBFGR48DWg3lK.jpg
a823,Dog Whisperer,"Sep 13, 2004",66,https://www.themoviedb.org/tv/6326-dog-whisperer,https://media.themoviedb.org/t/p/w220_and_h330_face/mRtOuQZmfyCKyjeBlcsY2hXNmV9.jpg
a824,Second Time is a Charm,"Nov 20, 2019",30,https://www.themoviedb.org/tv/98434,https://media.themoviedb.org/t/p/w220_and_h330_face/wuTDWH0B9nNYg8X1gWi3THIv1B8.jpg
a825,My Little Television,"Apr 25, 2015",10,https://www.themoviedb.org/tv/65281,https://media.themoviedb.org/t/p/w220_and_h330_face/8RFaLwLUypeOOFrJ2CCyoMNJ1ma.jpg
a826,Lights and Shadows,"Nov 28, 2011",40,https://www.themoviedb.org/tv/44126,https://media.themoviedb.org/t/p/w220_and_h330_face/edr5IkoJ6t6RfO8Wc1URTiuctsC.jpg
a827,MacGyver,"Sep 23, 2016",73,https://www.themoviedb.org/tv/67133-macgyver,https://media.themoviedb.org/t/p/w220_and_h330_face/2zAogx9dmSAu2HYxbWzHe4ZaNY5.jpg
